time_from_stimulus,firing_rate,spike_counts
-0.195,21.742305192947892,13.0
-0.185,21.425981395946064,12.0
-0.175,20.73647265014171,18.0
-0.16499999999999998,19.781668007858183,7.0
-0.15499999999999997,18.933789144438727,14.0
-0.14499999999999996,18.625335321052326,7.0
-0.13499999999999995,19.05233394249776,11.0
-0.12499999999999994,20.08310198760831,12.0
-0.11499999999999994,21.446473848864564,15.0
-0.10499999999999993,22.99568491754857,10.0
-0.09499999999999992,24.787191406797326,19.0
-0.08499999999999991,26.927157783216273,10.0
-0.0749999999999999,29.375841663784627,21.0
-0.06499999999999989,31.95866593785235,18.0
-0.05499999999999988,34.662888415253036,24.0
-0.04499999999999987,38.046999417196425,17.0
-0.034999999999999865,43.48352349475265,28.0
-0.024999999999999856,52.8636017655854,21.0
-0.014999999999999847,67.4575567791831,23.0
-0.004999999999999838,86.38286245571629,52.0
0.005000000000000171,106.26849141926536,67.0
0.01500000000000018,123.20011928056898,96.0
0.02500000000000019,135.60835984527512,95.0
0.0350000000000002,145.07092746327504,62.0
0.045000000000000207,154.1450435624471,92.0
0.055000000000000215,164.04129260510211,108.0
0.06500000000000022,174.67913409997914,112.0
0.07500000000000023,185.82417504694126,83.0
0.08500000000000024,197.05747981895814,142.0
0.09500000000000025,207.15884398295896,120.0
0.10500000000000026,214.47782444813726,129.0
0.11500000000000027,218.27176873003566,154.0
0.12500000000000028,220.02481061390466,122.0
0.1350000000000003,223.60451720307543,132.0
0.1450000000000003,233.40995206153536,109.0
0.1550000000000003,251.4553996144006,141.0
0.1650000000000003,275.8820350923937,170.0
0.17500000000000032,302.3811885905068,183.0
0.18500000000000033,327.23202223758915,214.0
0.19500000000000034,349.1741434269331,213.0
0.20500000000000035,368.90760490227825,190.0
0.21500000000000036,387.940434651772,276.0
0.22500000000000037,409.1643614762713,225.0
0.23500000000000038,438.1902033158764,245.0
0.24500000000000038,482.07044264572914,257.0
0.2550000000000004,545.1700670795215,271.0
0.2650000000000004,625.7716777850823,394.0
0.2750000000000004,716.3264473756869,416.0
0.2850000000000004,806.8741670810846,479.0
0.29500000000000043,890.0177185881071,617.0
0.30500000000000044,964.9744007818747,559.0
0.31500000000000045,1036.6911102292165,586.0
0.32500000000000046,1109.49452441126,645.0
0.33500000000000046,1181.888378589767,776.0
0.3450000000000005,1247.8653137721049,713.0
0.3550000000000005,1301.604847582171,839.0
0.3650000000000005,1340.6860711252789,812.0
0.3750000000000005,1368.1354081167049,828.0
0.3850000000000005,1394.665256949525,874.0
0.3950000000000005,1437.7628078245539,764.0
0.4050000000000005,1512.4215826200941,823.0
0.41500000000000054,1616.6280736552426,894.0
0.42500000000000054,1725.4840234659114,1118.0
0.43500000000000055,1804.8120974695003,1271.0
0.44500000000000056,1835.6648549946608,1134.0
0.45500000000000057,1827.9644046305698,1135.0
0.4650000000000006,1811.6191734676004,974.0
0.4750000000000006,1814.8667768687505,1042.0
0.4850000000000006,1848.153328180194,1049.0
0.49500000000000066,1903.6504281777693,1173.0
0.5050000000000007,1966.8035022003223,1216.0
0.5150000000000007,2027.508247534372,1219.0
0.5250000000000007,2081.873877386362,1192.0
0.5350000000000007,2127.8029530567323,1352.0
0.5450000000000007,2164.0047980591094,1343.0
0.5550000000000007,2193.7196892852935,1246.0
0.5650000000000007,2225.406255114462,1385.0
0.5750000000000007,2266.852302216558,1271.0
0.5850000000000007,2317.949587243591,1370.0
0.5950000000000008,2369.2311827469002,1510.0
0.6050000000000008,2407.828033822716,1451.0
0.6150000000000008,2425.5768449068273,1471.0
0.6250000000000008,2423.598692861866,1535.0
0.6350000000000008,2412.603219123917,1391.0
0.6450000000000008,2409.222503773614,1434.0
0.6550000000000008,2427.737712086017,1367.0
0.6650000000000008,2470.1413722458187,1450.0
0.6750000000000008,2522.030083772547,1524.0
0.6850000000000008,2560.1913247521243,1648.0
0.6950000000000008,2567.9976674935315,1623.0
0.7050000000000008,2546.002584209658,1501.0
0.7150000000000009,2509.2353573180208,1485.0
0.7250000000000009,2476.094963004885,1498.0
0.7350000000000009,2458.7982372209353,1393.0
0.7450000000000009,2458.4998253092094,1450.0
0.7550000000000009,2464.932971100404,1509.0
0.7650000000000009,2462.2944245211474,1533.0
0.7750000000000009,2439.060150114195,1531.0
0.7850000000000009,2393.534149260993,1385.0
0.7950000000000009,2331.288344464395,1463.0
0.8050000000000009,2260.3777635220176,1325.0
0.815000000000001,2190.2098200872388,1350.0
0.825000000000001,2131.508463946889,1206.0
0.835000000000001,2092.3240807648494,1198.0
0.845000000000001,2072.4705002909427,1243.0
0.855000000000001,2063.3699896157423,1262.0
0.865000000000001,2054.245067828883,1248.0
0.875000000000001,2037.994886047236,1210.0
0.885000000000001,2012.1613309933762,1260.0
0.895000000000001,1976.8331808905311,1160.0
0.905000000000001,1933.0927839557146,1176.0
0.915000000000001,1883.7409070816086,1160.0
0.925000000000001,1834.9800731696914,1097.0
0.935000000000001,1794.9831953149285,997.0
0.9450000000000011,1767.9831246561685,1057.0
0.9550000000000011,1750.1546840620636,1048.0
0.9650000000000011,1733.4972606946562,1103.0
0.9750000000000011,1714.0030177017697,1003.0
0.9850000000000011,1694.9594807217186,999.0
0.9950000000000011,1683.0865799617877,994.0
